"ward","sect","block","lot","propertyAddress","lotSize","cityTax","stateTax","resCode","asOfDate","orig_lot"
"27","150","4854","004","5508 ROLAND AVE",22439,"12537.10","624.62","PRINCIPAL RESIDENCE","03/25/2015","95X236.2"
"9","190","3988","018","1305 E 35TH ST",4152,"2866.94","142.84","PRINCIPAL RESIDENCE","03/25/2015","34.6X120"
"26","230","5733B","001","5901 GRACE AVE",4800,"2427.84","120.96","PRINCIPAL RESIDENCE","03/25/2015","48X100"
"28","20","8264","024","3718 FERNDALE AVE",6000,"2760.54","137.54","PRINCIPAL RESIDENCE","03/25/2015","50X120"
"13","130","3511C","056","3323 PAINE ST",1200,"2398.62","119.50","PRINCIPAL RESIDENCE","03/25/2015","12X100"
"27","30","5695F","118","4105 CENTURY ROAD",1620,"2315.44","115.36","PRINCIPAL RESIDENCE","03/25/2015","18X90"
"15","180","3259","012","2123 N PULASKI ST",1773,"749.33","37.33","PRINCIPAL RESIDENCE","03/25/2015","19.7X90"
"26","130","6294","052","206 S CLINTON ST",945,"2684.11","133.73","PRINCIPAL RESIDENCE","03/25/2015","12.6X75"
"26","300","6132","006","3911 ELMORA AVE",1680,"1742.20","86.80","PRINCIPAL RESIDENCE","03/25/2015","16X105"
"15","280","2835","020","4014 ALTO ROAD",11250,"2986.09","148.77","PRINCIPAL RESIDENCE","03/25/2015","75X150"
"26","190","6273","009","3416 NOBLE ST",851.25,"1958.01","97.55","PRINCIPAL RESIDENCE","03/25/2015","12.5X68.10"
"28","50","8102A","025","4709 AMBERLEY AVE",2052,"2115.37","105.39","PRINCIPAL RESIDENCE","03/25/2015","20X102.6"
"26","420","5958","011","4521 FURLEY AVE",2376,"1562.36","77.84","PRINCIPAL RESIDENCE","03/25/2015","27X88"
"26","90","6446","016","3910 FAIT AVE",1001,"3770.64","187.86","PRINCIPAL RESIDENCE","03/25/2015","14.3X70"
"9","190","3991","036","1518 WINDEMERE AVE",3150,"2722.33","135.63","PRINCIPAL RESIDENCE","03/25/2015","30X105"
"24","120","1988B","029","1223 HAUBERT ST",970.5,"5889.76","293.44","PRINCIPAL RESIDENCE","03/25/2015","15X64.7"
"26","340","4179L","018","3616 ELMORA AVE",1800,"1870.34","93.18","PRINCIPAL RESIDENCE","03/25/2015","18X100"
"27","350","5482E","032","2723 INGLEWOOD AVE",6250,"3439.44","171.36","PRINCIPAL RESIDENCE","03/25/2015","50X125"
"15","230","3123D","028","3319 DOLFIELD AVE",4343.8,"2818.99","140.45","PRINCIPAL RESIDENCE","03/25/2015","37X117.4"
"25","10","8139F","017G","5240 WYNDHOLME CIR U# 41",2497,"4496.00","224.00","PRINCIPAL RESIDENCE","03/25/2015","2497 SQ FT"
"13","80","3424","011","2220 EUTAW PL",2730.2,"5034.01","250.80","PRINCIPAL RESIDENCE","03/25/2015","18.7X146"
"20","60","2171","076","12 S CATHERINE ST",1043.12,"337.20","16.80","PRINCIPAL RESIDENCE","03/25/2015","13.6X76.7"
"27","60","5383","016","2611 E STRATHMORE AVE",6655,"4172.29","207.87","PRINCIPAL RESIDENCE","03/25/2015","55X121"
"12","180","3725","006","3510 NEWLAND ROAD",6738,"7362.94","366.84","PRINCIPAL RESIDENCE","03/25/2015","60X112.3"
"22","60","0861","044A","634 BURGUNDY ST",510,"2922.40","145.60","PRINCIPAL RESIDENCE","03/25/2015","15X34"
"12","20","3658","100","3023 CRESMONT AVE",2018.8,"3850.82","191.86","PRINCIPAL RESIDENCE","03/25/2015","20.6X98"
"27","200","4621","026","4750 PARK HEIGHTS AVE",1964.13,"337.20","16.80","PRINCIPAL RESIDENCE","03/25/2015","14.1X139.3"
"26","120","6299A","018","335 S CLINTON ST",1131,"3511.38","174.94","PRINCIPAL RESIDENCE","03/25/2015","13X87"
"12","10","3702","512","4100 N CHARLES ST U# 512",1381.16,"3821.60","190.40","PRINCIPAL RESIDENCE","03/25/2015","1381.16 S.F."
"16","190","2451","023","1515 N ELLAMONT ST",1244.1,"1699.49","84.67","PRINCIPAL RESIDENCE","03/25/2015","14.3X87"
"1","70","1855","047","2519 FOSTER AVE",1152,"7611.73","379.23","PRINCIPAL RESIDENCE","03/25/2015","16X72"
"24","120","2002B","053","1324 LOWMAN ST",1698.84,"8000.63","398.61","PRINCIPAL RESIDENCE","03/25/2015","0.039 ACRES"
"25","90","7186","009","1415 CHERRY ST",4200,"1348.80","67.20","PRINCIPAL RESIDENCE","03/25/2015","28X150"
"27","350","5488A","042","2819 BERWICK AVE",9050,"2823.49","140.67","PRINCIPAL RESIDENCE","03/25/2015","50X181"
"3","50","1404","414","240 PRESIDENT ST U# PS745",151,"179.84","8.96","PRINCIPAL RESIDENCE","03/25/2015","151 SQ FT"
"11","10","0484","353","1209 N CHARLES ST U# P-53B",180,"112.40","5.60","PRINCIPAL RESIDENCE","03/25/2015","180 SQ FT"
"27","170","4652E","023","6112 MAYWOOD AVE",40815.7,"8081.56","402.64","PRINCIPAL RESIDENCE","03/25/2015","0.937 ACRES"
"1","130","1790","062","518 S BELNORD AVE",793,"3282.08","163.52","PRINCIPAL RESIDENCE","03/25/2015","12.2X65"
"24","70","1931","037","532 E FORT AVE",1039.2,"5419.93","270.03","PRINCIPAL RESIDENCE","03/25/2015","12X86.6"
"27","230","4429I","043","5739 JONQUIL AVE",2492.88,"2488.54","123.98","PRINCIPAL RESIDENCE","03/25/2015","18.8X132.6"
"26","200","6187","017","4322 E EAGER ST",2160,"1825.38","90.94","PRINCIPAL RESIDENCE","03/25/2015","27X80"
"13","40","3390B","071","2064 CLIPPER PARK ROAD",1698.84,"5797.59","288.85","PRINCIPAL RESIDENCE","03/25/2015","0.039 ACRES"
"21","40","0758","024","1346 JAMES ST",884,"2158.08","107.52","PRINCIPAL RESIDENCE","03/25/2015","13.6X65"
"15","290","3034","025","2204 N ROSEDALE ST",1330,"2517.76","125.44","PRINCIPAL RESIDENCE","03/25/2015","14X95"
"28","40","2873","002","2517 TALBOT ROAD",18400,"3617.03","180.21","PRINCIPAL RESIDENCE","03/25/2015","100X184"
"15","240","3100B","003","4003 BAREVA ROAD",1919.55,"2704.34","134.74","PRINCIPAL RESIDENCE","03/25/2015","19.1X100.5"
"10","120","1189","044","1023 N CENTRAL AVE",1029,"1686.00","84.00","PRINCIPAL RESIDENCE","03/25/2015","1029.0 S.F."
"8","160","1509","023","1412 N POTOMAC ST",1854.4,"2110.87","105.17","PRINCIPAL RESIDENCE","03/25/2015","19X97.6"
"27","230","4218P","030","3817 LABYRINTH ROAD",4260.3,"3185.42","158.70","PRINCIPAL RESIDENCE","03/25/2015","33X129.10"
"1","60","1902C","022","2403 BOSTON ST",1330,"10080.03","502.21","PRINCIPAL RESIDENCE","03/25/2015","1330 S.F."
"25","20","7863","061L","1935 DEERING AVE",2708.12,"2529.00","126.00","PRINCIPAL RESIDENCE","03/25/2015","15.8X171.4"
"8","160","1492","003","1505 N ELLWOOD AVE",1680,"2116.11","105.43","PRINCIPAL RESIDENCE","03/25/2015","20X84"
"27","230","4218J","076","3908 CLARINTH ROAD",3651.34,"2825.74","140.78","PRINCIPAL RESIDENCE","03/25/2015","30.4X120.11"
"27","590","5210C","021","1241 LIMIT AVE",4041.4,"2529.00","126.00","PRINCIPAL RESIDENCE","03/25/2015","33.4X121"
"24","10","1911","014","343 WARREN AVE",1856.4,"10471.18","521.70","PRINCIPAL RESIDENCE","03/25/2015","15.6X119"
"2","60","1875","003H","969 FELL ST U# 969",4010,"19389.00","966.00","PRINCIPAL RESIDENCE","03/25/2015","4010 SQ FT"
"25","50","7567A","022","3319 ENGLISH CONSUL AVE",14680,"3416.96","170.24","PRINCIPAL RESIDENCE","03/25/2015","100X146.8"
"24","90","2028","049","1536 BOYLE ST",751.2,"4226.24","210.56","PRINCIPAL RESIDENCE","03/25/2015","12X62.6"
"25","10","8139F","012C","5318 WYNDHOLME CIR U# 87",1255,"3057.28","152.32","PRINCIPAL RESIDENCE","03/25/2015","1255 SQ FT"
"27","310","5410A","033","5605 TRAMORE ROAD",7500,"3028.06","150.86","PRINCIPAL RESIDENCE","03/25/2015","50X150"
"16","170","2523","008","3714 COLBORNE ROAD",1470,"2023.20","100.80","PRINCIPAL RESIDENCE","03/25/2015","14X105"
"9","210","3978","009","3717 ELKADER ROAD",1659.2,"2513.26","125.22","PRINCIPAL RESIDENCE","03/25/2015","17X97.6"
"27","380","5446","006","6603 LAURELTON AVE",8250,"3342.78","166.54","PRINCIPAL RESIDENCE","03/25/2015","66X125"
"26","210","5951","011A","4302 VALLEY VIEW AVE",7450,"3695.71","184.13","PRINCIPAL RESIDENCE","03/25/2015","50X149"
"1","50","1836","027","2316 FOSTER AVE",754,"3940.74","196.34","PRINCIPAL RESIDENCE","03/25/2015","13X58"
"26","220","5997","052","5505 PLAINFIELD AVE",5000,"3304.56","164.64","PRINCIPAL RESIDENCE","03/25/2015","50X100"
"23","110","1015","094","1621 MARSHALL ST",919.8,"4340.89","216.27","PRINCIPAL RESIDENCE","03/25/2015","12.6X73"
"27","50","5417","032","6028 OLD HARFORD ROAD",8374.92,"3844.08","191.52","PRINCIPAL RESIDENCE","03/25/2015","60.6X138.2"
"9","190","3943","010","2105 ERDMAN AVE",8580,"2606.94","129.88","PRINCIPAL RESIDENCE","03/25/2015","60X143"
"9","190","3944","014C","2107 DOBLER AVE",3828,"2893.18","144.14","PRINCIPAL RESIDENCE","03/25/2015","30X127.6"
"27","190","4613","040","4920 QUEENSBERRY AVE",1998,"337.20","16.80","PRINCIPAL RESIDENCE","03/25/2015","22.2X90"
"9","200","4048","043","3557 GREENMOUNT AVE",2417.8,"2312.45","115.21","PRINCIPAL RESIDENCE","03/25/2015","22X109.9"
"26","170","6352","038","6813 E BALTIMORE ST",1432.2,"1865.84","92.96","PRINCIPAL RESIDENCE","03/25/2015","14X102.3"
"27","220","4203","027","3208 SHELBURNE ROAD",5865.1,"5143.42","256.26","PRINCIPAL RESIDENCE","03/25/2015","65.9X89"
"27","90","5267O","830","1631 INGRAM ROAD",2206,"3005.58","149.74","PRINCIPAL RESIDENCE","03/25/2015","20X110.3"
"8","200","1454","011","2420 E LAFAYETTE AVE",966,"67.44","3.36","PRINCIPAL RESIDENCE","03/25/2015","13.8X70"
"28","50","7900E","169","725 NOTTINGHAM ROAD",5772,"3983.46","198.46","PRINCIPAL RESIDENCE","03/25/2015","60X96.2"
"24","120","1988B","005","1242 HULL ST",1008,"5867.28","292.32","PRINCIPAL RESIDENCE","03/25/2015","14X72"
"2","60","1874A","067","1000 FELL ST U# 309",801,"4046.40","201.60","PRINCIPAL RESIDENCE","03/25/2015","801 SQ FT"
"27","190","4531","039","5425 PARK HEIGHTS AVE",2084.3,"1011.60","50.40","PRINCIPAL RESIDENCE","03/25/2015","19X109.7"
"27","170","4652B","015","6505 BAYTHORNE ROAD",14157,"6064.36","302.14","PRINCIPAL RESIDENCE","03/25/2015","0.325 ACRES"
"13","100","3463E","015A","2522 BROOKFIELD AVE",2712,"3055.03","152.21","PRINCIPAL RESIDENCE","03/25/2015","22.6X120"
"27","570","5137J","040","6234 NORTHWOOD DR",7872.66,"3030.30","150.98","PRINCIPAL RESIDENCE","03/25/2015","71.7X109.8"
"28","50","7993C","060","818 STAMFORD ROAD",3781.16,"2704.34","134.74","PRINCIPAL RESIDENCE","03/25/2015","33.11X114.2"
"25","20","7863","056","1901 DEERING AVE",3672,"2868.45","142.91","PRINCIPAL RESIDENCE","03/25/2015","21.6X170"
"26","360","4179F","029","3636 ELMLEY AVE",2020,"2059.17","102.59","PRINCIPAL RESIDENCE","03/25/2015","20.2X100"
"27","290","5288","069","5736 EDGEPARK ROAD",1900,"2340.17","116.59","PRINCIPAL RESIDENCE","03/25/2015","19X100"
"20","90","0271","085","339 S BENTALOU ST",994.5,"674.40","33.60","PRINCIPAL RESIDENCE","03/25/2015","11.7X85"
"27","90","5267O","530F","1676 BURNWOOD ROAD",3765.6,"3007.82","149.86","PRINCIPAL RESIDENCE","03/25/2015","36X104.6"
"26","220","6042O","044","5413 MAYVIEW AVE",5040,"2459.31","122.53","PRINCIPAL RESIDENCE","03/25/2015","48X105"
"15","140","0010","025","1713 N MOUNT ST",465.12,"412.13","20.53","PRINCIPAL RESIDENCE","03/25/2015","17.1X27.2"
"9","210","3977B","001","900 E 37TH ST",1276.05,"3488.90","173.82","PRINCIPAL RESIDENCE","03/25/2015","14.1X90.5"
"15","230","3115","014","3701 GRANTLEY ROAD",12540,"4562.70","227.32","PRINCIPAL RESIDENCE","03/25/2015","110X114"
"27","220","4383","032","6235 BLACKSTONE AVE",7882,"5582.53","278.13","PRINCIPAL RESIDENCE","03/25/2015","70X112.6"
"8","220","1557","044","1121 N LUZERNE AVE",1022,"430.11","21.43","PRINCIPAL RESIDENCE","03/25/2015","14.6X70"
"6","20","1692","042","208 N GLOVER ST",780,"1897.31","94.53","PRINCIPAL RESIDENCE","03/25/2015","12X65"
"16","170","2514","032","800 MOUNT HOLLY ST",1648,"1829.87","91.17","PRINCIPAL RESIDENCE","03/25/2015","20.6X80"
"28","50","8127A","054","48 COBBER LANE",1890,"2495.28","124.32","PRINCIPAL RESIDENCE","03/25/2015","18X105"
"26","220","6019C","013","4702 BAYONNE AVE",7623,"2827.98","140.90","PRINCIPAL RESIDENCE","03/25/2015","0.175 ACRES"
"20","30","2294","016","510 NORMANDY AVE",2247,"1996.22","99.46","PRINCIPAL RESIDENCE","03/25/2015","21.4X105"
"9","220","3972M","016","3830 YOLANDO ROAD",1952,"2750.05","137.01","PRINCIPAL RESIDENCE","03/25/2015","20X97.6"
"12","100","0429","015","1631 N CALVERT ST",1219.68,"5004.79","249.35","PRINCIPAL RESIDENCE","03/25/2015","0.028 ACRES"
"27","180","4804A","009","3016 VIRGINIA AVE",6210,"2569.46","128.02","PRINCIPAL RESIDENCE","03/25/2015","50X124.2"
"27","360","5477","017","2817 ROSALIE AVE",6250,"3174.18","158.14","PRINCIPAL RESIDENCE","03/25/2015","50X125"
"20","40","2532","018","441 S AUGUSTA AVE",3750,"1580.34","78.74","PRINCIPAL RESIDENCE","03/25/2015","25X150"
"26","130","6294","002","201 S BOULDIN ST",1050,"3217.63","160.31","PRINCIPAL RESIDENCE","03/25/2015","15X70"
"27","590","5210F","017","1332 GITTINGS AVE",2185,"2502.02","124.66","PRINCIPAL RESIDENCE","03/25/2015","19X115"
"25","20","7772","014O","1051 PARKSLEY AVE",1414,"2582.95","128.69","PRINCIPAL RESIDENCE","03/25/2015","14X101"
"9","200","4056A","059","743 MELVILLE AVE",1408,"2008.21","100.05","PRINCIPAL RESIDENCE","03/25/2015","16X88"
"25","80","7143","022","4708 VIRGINIA AVE",4380,"1686.00","84.00","PRINCIPAL RESIDENCE","03/25/2015","50X87.6"
"27","230","4205","002D","7348 PARK HEIGHTS AVE",1451.55,"2023.20","100.80","PRINCIPAL RESIDENCE","03/25/2015","1451.55 S.F."
"27","230","4218Q","001","6802 WILLIAMSON AVE",6098.4,"5688.18","283.40","PRINCIPAL RESIDENCE","03/25/2015","0.140 ACRES"
"25","30","7841A","026","2029 GRIFFIS AVE",1164,"2441.33","121.63","PRINCIPAL RESIDENCE","03/25/2015","15X77.6"
"11","120","0514","042","923 STUBBLEFIELD LANE",1469,"3821.60","190.40","PRINCIPAL RESIDENCE","03/25/2015","1469 S.F."
"27","30","5668B","025","6024 ALTA AVE",5734.6,"3275.34","163.18","PRINCIPAL RESIDENCE","03/25/2015","53X108.2"
"8","30","1447","012","1823 RUTLAND AVE",1020,"368.67","18.37","PRINCIPAL RESIDENCE","03/25/2015","13.6X75"
"25","10","7654G","159","3721 CLARENELL ROAD",3458,"2875.19","143.25","PRINCIPAL RESIDENCE","03/25/2015","26.6X130"
"8","10","4149B","054","3432 WOODSTOCK AVE",1941.8,"2677.37","133.39","PRINCIPAL RESIDENCE","03/25/2015","19X102.2"
"27","40","5498A","113","3232 GLENDALE AVE",13422.9,"2812.25","140.11","PRINCIPAL RESIDENCE","03/25/2015","50.5X265.8"
"13","20","3552","023","3734 HICKORY AVE",1572.96,"3625.28","180.62","PRINCIPAL RESIDENCE","03/25/2015","22.6X69.6"
"13","130","3526","116","3348 HICKORY AVE",1498,"2870.70","143.02","PRINCIPAL RESIDENCE","03/25/2015","14X107"
"26","440","6072K","060","5583 WHITBY ROAD",1800,"2578.46","128.46","PRINCIPAL RESIDENCE","03/25/2015","18X100"
"27","230","4312A","001R","4012 GLEN AVE",5618.16,"2400.86","119.62","PRINCIPAL RESIDENCE","03/25/2015","30.6X183.6"
"24","100","2019A","005","1408 E FORT AVE",1040,"4367.86","217.62","PRINCIPAL RESIDENCE","03/25/2015","13X80"
"26","10","6855","022","1443 BONSAL ST",5402.9,"1949.02","97.10","PRINCIPAL RESIDENCE","03/25/2015","55.7X97"
"15","130","0005","047","1614 WESTWOOD AVE",1568,"412.13","20.53","PRINCIPAL RESIDENCE","03/25/2015","14X112"
"9","50","4041A","002","602 BARTLETT AVE",2420,"269.76","13.44","PRINCIPAL RESIDENCE","03/25/2015","25X96.8"
"10","30","1183","048","1018 VALLEY ST",1248,"764.32","38.08","PRINCIPAL RESIDENCE","03/25/2015","13X96"
"8","240","4190A","010","2918 CLIFTON PARK TERR",1353.8,"1978.98","98.60","PRINCIPAL RESIDENCE","03/25/2015","14X96.7"
"24","90","1932","024","657 E CLEMENT ST",720,"6105.57","304.19","PRINCIPAL RESIDENCE","03/25/2015","12X60"
"27","590","5210E","116","1370 LIMIT AVE",2772,"2697.60","134.40","PRINCIPAL RESIDENCE","03/25/2015","18X154"
"28","50","7957","007","605 WINANS WAY",10530,"4208.26","209.66","PRINCIPAL RESIDENCE","03/25/2015","65X162"
"6","180","1714","049","134 N DECKER AVE",851.56,"2378.38","118.50","PRINCIPAL RESIDENCE","03/25/2015","12.2X69.8"
"27","220","4324","023","6244 WOODCREST AVE",6000,"4923.12","245.28","PRINCIPAL RESIDENCE","03/25/2015","50X120"
"25","80","7200","026","4401 PRUDENCE ST",5000,"2203.04","109.76","PRINCIPAL RESIDENCE","03/25/2015","50X100"
"20","20","2206B","060","2519 LAURETTA AVE",1006.4,"1820.88","90.72","PRINCIPAL RESIDENCE","03/25/2015","13.6X74"
"4","110","1350","137","414 WATER ST U# 1813",1403,"7643.20","380.80","PRINCIPAL RESIDENCE","03/25/2015","1403 SQ FT"
"15","210","2951A","014","3629 DOLFIELD AVE",2376,"2316.95","115.44","PRINCIPAL RESIDENCE","03/25/2015","18X132"
"20","140","0175","009","2117 W LEXINGTON ST",936,"606.96","30.24","PRINCIPAL RESIDENCE","03/25/2015","13X72"
"26","230","5733C","040","4626 MARY AVE",10507.5,"4257.71","212.13","PRINCIPAL RESIDENCE","03/25/2015","75X140.10"
"25","40","7476","065","2651 S PACA ST",1782,"2895.42","144.26","PRINCIPAL RESIDENCE","03/25/2015","18X99"
"16","250","2359","024","2415 CALVERTON HEIGHTS AVE",1978.8,"1557.86","77.62","PRINCIPAL RESIDENCE","03/25/2015","20.4X97"
"6","160","1729","041","2830 E BALTIMORE ST",1095,"3931.75","195.89","PRINCIPAL RESIDENCE","03/25/2015","14.6X75"
"20","70","2170A","024","2546 W FAIRMOUNT AVE",1000.8,"337.20","16.80","PRINCIPAL RESIDENCE","03/25/2015","13.9X72"
"27","230","4218D","050","4019 FALLSTAFF ROAD",4044.6,"3248.36","161.84","PRINCIPAL RESIDENCE","03/25/2015","32.1X126"
"26","10","6738","024","1215 DUNDALK AVE",6250,"2823.49","140.67","PRINCIPAL RESIDENCE","03/25/2015","50X125"
"27","670","5007","005","116 UPNOR ROAD",10356.9,"12361.75","615.89","PRINCIPAL RESIDENCE","03/25/2015","79X131.10"
"28","20","8190","078","5616 ELDERON AVE",3300,"2513.26","125.22","PRINCIPAL RESIDENCE","03/25/2015","33X100"
"27","30","5690","079","5922 BELLE VISTA AVE",2788,"2605.43","129.81","PRINCIPAL RESIDENCE","03/25/2015","27.2X102.5"
"26","170","6357","060","354 ELRINO ST",1425,"2143.09","106.77","PRINCIPAL RESIDENCE","03/25/2015","15X95"
"27","470","5183C","039","5000 SAINT GEORGES AVE",3990,"2506.52","124.88","PRINCIPAL RESIDENCE","03/25/2015","26.6X150"
"27","230","4293","058","3901 BANCROFT ROAD",5183.7,"4371.62","217.80","PRINCIPAL RESIDENCE","03/25/2015","46.7X111"
"28","20","8190","123","5520 GROVELAND AVE",22113.6,"3221.38","160.50","PRINCIPAL RESIDENCE","03/25/2015","136X162.6"
"27","670","4999","001","121 TAPLOW ROAD",9699.9,"12256.10","610.62","PRINCIPAL RESIDENCE","03/25/2015","130.2X74.5"
"21","120","0858","123","824 MANGOLD ST",696,"2292.96","114.24","PRINCIPAL RESIDENCE","03/25/2015","12X58"
"28","20","8231","012","4310 RIDGEWOOD AVE",15000,"3300.06","164.42","PRINCIPAL RESIDENCE","03/25/2015","100X150"
"26","390","5911B","022","3243 KENTUCKY AVE",3067.08,"1735.46","86.46","PRINCIPAL RESIDENCE","03/25/2015","36.6X83.8"
"15","360","2305","008","1715 RUXTON AVE",1495.78,"674.40","33.60","PRINCIPAL RESIDENCE","03/25/2015","14.3X104.6"
"20","10","0119","055","1920 LAURETTA AVE",1120.5,"337.20","16.80","PRINCIPAL RESIDENCE","03/25/2015","15X74.7"
"28","50","8125","014","210 S ATHOL AVE",1556.8,"2295.21","114.35","PRINCIPAL RESIDENCE","03/25/2015","16X97.3"
"15","140","0023","038","1547 N GILMOR ST",763.2,"756.83","37.71","PRINCIPAL RESIDENCE","03/25/2015","12X63.6"
"9","100","1121","006","1510 HOLBROOK ST",980,"112.40","5.60","PRINCIPAL RESIDENCE","03/25/2015","14X70"
"24","20","0966","086","1235 WALL ST",1008,"5406.44","269.36","PRINCIPAL RESIDENCE","03/25/2015","12.6X80"
"8","240","4149C","039","3434 PARKLAWN AVE",2745.07,"2137.85","106.51","PRINCIPAL RESIDENCE","03/25/2015","27.7X99.10"
"27","470","5183C","020","4819 MIDWOOD AVE",2076.8,"2205.29","109.87","PRINCIPAL RESIDENCE","03/25/2015","22X94.4"
"25","10","8139F","019J","5303 WYNDHOLME CIR U# 301",1330,"2877.44","143.36","PRINCIPAL RESIDENCE","03/25/2015","1330 SQ FT"
"9","220","3972I","001","901 ANDOVER ROAD",4225.32,"2660.13","132.53","PRINCIPAL RESIDENCE","03/25/2015","0.097 ACRES"
"2","60","1819","041","1627 - 1629 LANCASTER ST",1734.2,"4869.17","242.59","PRINCIPAL RESIDENCE","03/25/2015","29.9X58"
"26","300","6130","035","4002 ELMORA AVE",1600,"1665.77","82.99","PRINCIPAL RESIDENCE","03/25/2015","16X100"
"8","160","1505","035","2535 E OLIVER ST",1176,"337.20","16.80","PRINCIPAL RESIDENCE","03/25/2015","14X84"
"1","90","1902E","029","1240 DOCKSIDE CIR",1132.56,"16889.22","841.46","PRINCIPAL RESIDENCE","03/25/2015","0.026 ACRES"
"27","20","5832D","042","3515 WOODLEA AVE",5905.5,"3727.18","185.70","PRINCIPAL RESIDENCE","03/25/2015","50X118.11"
"10","120","1188","010","1020 N CENTRAL AVE",1017.2,"1686.00","84.00","PRINCIPAL RESIDENCE","03/25/2015","1017.2 S.F."
"15","320","3341","053","2604 SPRINGHILL AVE",1260,"674.40","33.60","PRINCIPAL RESIDENCE","03/25/2015","14X90"
"8","150","1523","036","1328 N KENWOOD AVE",1409.86,"1702.48","84.82","PRINCIPAL RESIDENCE","03/25/2015","15.7X89.8"
"20","190","2255","003","79 S KOSSUTH ST",1460,"3023.56","150.64","PRINCIPAL RESIDENCE","03/25/2015","14.6X100"
"27","60","5370A","048C","5007 PLYMOUTH ROAD",6408.3,"2542.49","126.67","PRINCIPAL RESIDENCE","03/25/2015","41X156.3"
"27","560","5138A","668","1027 MARLAU DR",2200,"2636.90","131.38","PRINCIPAL RESIDENCE","03/25/2015","20X110"
"27","10","5898C","042","3622 EASTWOOD DR",2910.18,"2290.71","114.13","PRINCIPAL RESIDENCE","03/25/2015","28.7X101.4"
"27","560","5138A","295","1024 REVERDY ROAD",3795,"2490.78","124.10","PRINCIPAL RESIDENCE","03/25/2015","34.5X110"
"16","170","2524","013","3802 FLOWERTON ROAD",1470,"1670.26","83.22","PRINCIPAL RESIDENCE","03/25/2015","14X105"
"15","290","3020","006","3209 WINDSOR AVE",8000,"3904.03","194.51","PRINCIPAL RESIDENCE","03/25/2015","50X160"
"27","10","5858A","034","4128 MARX AVE",7245,"3223.63","160.61","PRINCIPAL RESIDENCE","03/25/2015","50X144.9"
"15","140","0023","022","1515 N GILMOR ST",979.2,"756.83","37.71","PRINCIPAL RESIDENCE","03/25/2015","13.6X72"
"25","60","7100","020","339 WASHBURN AVE",3450,"2432.34","121.18","PRINCIPAL RESIDENCE","03/25/2015","23X150"
"27","20","5750","022F","4107 WHITE AVE",2654.6,"2459.31","122.53","PRINCIPAL RESIDENCE","03/25/2015","26X102.10"
"3","70","1818","020B","844 S BOND ST",1960.2,"12498.88","622.72","PRINCIPAL RESIDENCE","03/25/2015","0.045 ACRES"
"19","90","0275","040","1836 RAMSAY ST",1040,"809.28","40.32","PRINCIPAL RESIDENCE","03/25/2015","13X80"
"9","190","3991","041","1528 WINDEMERE AVE",3150,"2742.56","136.64","PRINCIPAL RESIDENCE","03/25/2015","30X105"
"26","270","6124","072","4708 ELISON AVE",2014.5,"1881.58","93.74","PRINCIPAL RESIDENCE","03/25/2015","17X118.5"
"15","280","2826D","003","2302 LYNDHURST AVE",7634.05,"2801.01","139.55","PRINCIPAL RESIDENCE","03/25/2015","54.10X141.11"
"15","320","3327D","003","2514 DRUID PARK DR",1472,"674.40","33.60","PRINCIPAL RESIDENCE","03/25/2015","18.4X80"
"20","180","2252","017","3832 OLD FREDERICK ROAD",5544,"1850.10","92.18","PRINCIPAL RESIDENCE","03/25/2015","52.5X105.6"
"15","210","2960","054","4317 GARRISON BLVD",2918,"2657.14","132.38","PRINCIPAL RESIDENCE","03/25/2015","20X145.9"
"8","160","1491","002","1502 N ELLWOOD AVE",1700,"1992.47","99.27","PRINCIPAL RESIDENCE","03/25/2015","20X85"
"9","220","3972D","004","907 ARGONNE DR",1882.8,"2687.10","133.88","PRINCIPAL RESIDENCE","03/25/2015","18X104.6"
"27","240","5387","592","1702 NORTHBOURNE ROAD",2000,"2744.81","136.75","PRINCIPAL RESIDENCE","03/25/2015","20X100"
"17","90","0499","016","514 SAINT MARY ST",1176.12,"5620.74","280.04","PRINCIPAL RESIDENCE","03/25/2015","0.027 ACRES"
"15","320","3327C","060","2558 DRUID PARK DR",1488,"674.40","33.60","PRINCIPAL RESIDENCE","03/25/2015","18.6X80"
"27","680","4979","014","117 E LAKE AVE",12022.6,"9729.34","484.74","PRINCIPAL RESIDENCE","03/25/2015","0.276 ACRES"
"24","30","0983","037","142 E CLEMENT ST",938,"6150.53","306.43","PRINCIPAL RESIDENCE","03/25/2015","13.4X70"
"26","160","6301","026","3420 GOUGH ST",1555.4,"2927.64","145.86","PRINCIPAL RESIDENCE","03/25/2015","14X111.10"
"27","570","5137F","054","6129 EDLYNNE ROAD",4625.28,"2627.91","130.93","PRINCIPAL RESIDENCE","03/25/2015","39.6X116.8"
"24","60","1025","055","231 E HEATH ST",1066,"3596.80","179.20","PRINCIPAL RESIDENCE","03/25/2015","13X82"
"9","190","3989","019","1314 LAKESIDE AVE",4730,"3005.58","149.74","PRINCIPAL RESIDENCE","03/25/2015","43X110"
"27","640","5093B","088F","427 CROYDON ROAD",3864,"4502.74","224.34","PRINCIPAL RESIDENCE","03/25/2015","42X92"
"1","140","1743","068","24 S ROBINSON ST",910,"3010.07","149.97","PRINCIPAL RESIDENCE","03/25/2015","13X70"
